0,1,2,3,4,5,6,7,8,9,10,11,12,13
Leptopogon superciliaris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Leptopogon,superciliaris,Mosquerito Orejinegro,Slaty-capped Flycatcher,"Leptopogon superciliaris, Slaty-capped Flycatcher, Mosquerito Orejinegro",,,232
Leptotila cassinii,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Leptotila,cassinii,Paloma Pechigrís ,Gray-chested Dove,"Leptotila cassinii, Gray-chested Dove, Paloma Pechigrís ",,Yuré,164
Leptotrygon veraguensis,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Leptotrygon,veraguensis,Paloma-Perdiz Bigotiblanca,Olive-backed Quail-Dove,"Leptotrygon veraguensis, Olive-backed Quail-Dove, Paloma-Perdiz Bigotiblanca",,,166
Leucophaeus modestus,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Leucophaeus,modestus,Gaviota Torero,Gray Gull,"Leucophaeus modestus, Gray Gull, Gaviota Torero",,,378
Limnodromus griseus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Limnodromus,griseus,Agujeta Común,Short-billed Dowitcher,"Limnodromus griseus, Short-billed Dowitcher, Agujeta Común",,,82
Lophotriccus pileatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Lophotriccus,pileatus,Mosquerito de Yelmo,Scale-crested Pygmy-Tyrant,"Lophotriccus pileatus, Scale-crested Pygmy-Tyrant, Mosquerito de Yelmo",,,234
Lurocalis semitorquatus,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae ,Lurocalis,semitorquatus,Añapero Colicorto,Short-tailed Nighthawk,"Lurocalis semitorquatus, Short-tailed Nighthawk, Añapero Colicorto",,,128
Malacoptila panamensis,Animalia,Chordata,Aves,Piciformes,Bucconidae ,Malacoptila,panamensis,Buco Barbón,White-whiskered Puffbird,"Malacoptila panamensis, White-whiskered Puffbird, Buco Barbón",,,188
Mareca americana,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Mareca,americana,Pato Calvo ,American Wigeon,"Mareca americana, American Wigeon, Pato Calvo ",,Carraco ,34
Megaceryle torquatus,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae ,Megaceryle,torquatus,Martín Pescador Collarejo,Ringed Kingfisher,"Megaceryle torquatus, Ringed Kingfisher, Martín Pescador Collarejo",,,186
Megascops cooperi,Animalia,Chordata,Aves,Accipitriformes,Strigidae ,Megascops,cooperi,Lechucita Sabanera ,Pacific Screech-Owl,"Megascops cooperi, Pacific Screech-Owl, Lechucita Sabanera ",,"Ju de León, Estucurú o Sorococa",120
Micrastur ruficollis,Animalia,Chordata,Aves,Falconiformes,Falconidae ,Micrastur,ruficollis,Halcón de Monte Barreteado,Barred Forest-Falcon,"Micrastur ruficollis, Barred Forest-Falcon, Halcón de Monte Barreteado",,,116
Micromonacha lanceolata,Animalia,Chordata,Aves,Piciformes,Bucconidae ,Micromonacha,lanceolata,Monjito Rayado,Lanceolated Monklet,"Micromonacha lanceolata, Lanceolated Monklet, Monjito Rayado",,,188
Mionectes oleagineus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Mionectes,oleagineus,Mosquerito Aceitunado ,Ochre-bellied Flycatcher,"Mionectes oleagineus, Ochre-bellied Flycatcher, Mosquerito Aceitunado ",,Tontillo,236
Myiarchus nuttingi,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Myiarchus,nuttingi,Copetón de Nutting ,Nutting's Flycatcher,"Myiarchus nuttingi, Nutting's Flycatcher, Copetón de Nutting ",,Tontillo ,246
Myioborus torquatus,Animalia,Chordata,Aves,Passeriformes,Parulidae ,Myioborus,torquatus,Candelita Collareja ,Collared Redstart,"Myioborus torquatus, Collared Redstart, Candelita Collareja ",,Amigo de Hombre,310
Myrmeciza zeledoni,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae ,Myrmeciza,zeledoni,Hormiguero de Zeledón,Zeledon's Antbird,"Myrmeciza zeledoni, Zeledon's Antbird, Hormiguero de Zeledón",,,216
Neocrex erythrops,Animalia,Chordata,Aves,Gruiformes,Rallidae ,Neocrex,erythrops,Polluela Piquirroja,Paint-billed Crake ,"Neocrex erythrops, Paint-billed Crake , Polluela Piquirroja",,,86
Nesotriccus ridgwayi,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Nesotriccus,ridgwayi,Mosquerito de la Isla del Coco,Cocos Flycatcher,"Nesotriccus ridgwayi, Cocos Flycatcher, Mosquerito de la Isla del Coco",,,370
Nomonyx dominicus,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Nomonyx,dominicus,Pato Enmascarado,Masked Duck,"Nomonyx dominicus, Masked Duck, Pato Enmascarado",,,36
Numenius americanus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Numenius,americanus,Zarapito Piquilargo,Long-billed Curlew,"Numenius americanus, Long-billed Curlew, Zarapito Piquilargo",,,74
Nyctibius jamaicensis,Animalia,Chordata,Aves,Nyctibiiformes,Nyctibiidae ,Nyctibius,jamaicensis,Nictibio Norteño ,Northern Potoo,"Nyctibius jamaicensis, Northern Potoo, Nictibio Norteño ",,"Pájaro Estaca, Gozona",124
Nyctidromus albicollis,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae ,Nyctidromus,albicollis,Tapacaminos Común ,Common Pauraque,"Nyctidromus albicollis, Common Pauraque, Tapacaminos Común ",,"Cuyeo, Pucuyo",126
